juv_fel_count,juv_misd_count,juv_other_count,days_b_screening_arrest,age,length_of_stay,priors_count,race,sex,c_charge_degree,c_charge_desc
0,0,0,-1.0,69,0.9844675925925926,0,Other,Male,F,Aggravated Assault w/Firearm
0,0,0,-1.0,34,10.07738425925926,0,African-American,Male,F,Felony Battery w/Prior Convict
0,0,1,-1.0,24,1.085763888888889,4,African-American,Male,F,Possession of Cocaine
0,1,0,,23,,1,African-American,Male,F,Possession of Cannabis
0,0,0,,43,,2,Other,Male,F,arrest case no charge
0,0,0,0.0,44,1.3184953703703703,0,Other,Male,M,Battery
0,0,0,-1.0,41,6.298680555555555,14,Caucasian,Male,F,Possession Burglary Tools
0,0,0,-1.0,43,0.9908564814814815,3,Other,Male,F,arrest case no charge
0,0,0,-1.0,39,2.953611111111111,0,Caucasian,Female,M,Battery
0,0,0,428.0,21,0.9883101851851852,1,Caucasian,Male,F,OTHER
0,0,0,-1.0,27,1.080451388888889,0,Caucasian,Male,F,OTHER
0,0,0,0.0,23,4.17355324074074,3,African-American,Male,M,Battery
0,0,0,0.0,37,0.9057407407407407,0,Caucasian,Female,M,Battery
0,0,0,-1.0,41,0.5997916666666666,0,African-American,Male,F,"Poss3,4 Methylenedioxymethcath"
0,0,0,-20.0,47,14.261828703703705,1,Caucasian,Female,F,arrest case no charge
0,0,0,22.0,31,3.1155555555555554,7,African-American,Male,F,Felony Driving While Lic Suspd
0,0,0,0.0,37,0.24181712962962962,0,Hispanic,Male,M,Battery
0,0,0,-1.0,25,1.145324074074074,3,African-American,Male,F,Grand Theft in the 3rd Degree
0,0,0,-1.0,31,1.053263888888889,6,Caucasian,Male,F,Driving While License Revoked
0,0,0,-1.0,31,1.1388773148148148,5,Caucasian,Male,F,Possession Of Heroin
0,0,0,-1.0,64,1.1103472222222222,13,African-American,Male,F,arrest case no charge
0,0,0,-1.0,21,3.1102314814814815,1,African-American,Male,F,Battery on Law Enforc Officer
0,0,0,0.0,27,0.2897337962962963,0,Caucasian,Male,M,Possession Of Methamphetamine
0,0,0,-2.0,21,1.1536111111111111,0,Caucasian,Female,F,OTHER
0,0,0,0.0,24,0.9953125,1,Hispanic,Male,F,OTHER
0,0,0,-1.0,43,1.2283333333333333,1,Caucasian,Male,M,Susp Drivers Lic 1st Offense
0,0,0,-1.0,32,1.7884259259259259,0,Other,Male,M,Battery
0,0,0,-1.0,27,17.000833333333333,8,African-American,Male,F,Carrying Concealed Firearm
0,0,0,53.0,36,0.8241898148148148,3,Caucasian,Female,F,arrest case no charge
0,0,1,-1.0,26,0.9481018518518518,5,African-American,Male,F,Pos Cannabis W/Intent Sel/Del
0,0,0,0.0,33,37.79100694444445,0,African-American,Male,F,Tampering With Physical Evidence
0,0,0,0.0,30,44.211226851851855,9,Caucasian,Male,F,Felony Battery w/Prior Convict
0,0,0,-1.0,32,1.0763078703703703,4,African-American,Male,F,OTHER
0,0,0,-1.0,55,2.1613657407407407,0,Caucasian,Male,F,arrest case no charge
0,0,0,-1.0,49,3.921759259259259,7,Other,Male,F,OTHER
0,0,2,81.0,26,12.122465277777778,6,Caucasian,Male,M,Operating W/O Valid License
0,0,0,-1.0,33,11.150787037037038,4,Caucasian,Female,M,Battery
0,0,0,0.0,24,1.1265972222222222,1,Caucasian,Male,M,Battery
2,1,3,0.0,34,33.30111111111111,21,African-American,Male,F,OTHER
0,0,0,0.0,29,-0.2461574074074074,0,Caucasian,Male,M,Possess Cannabis/20 Grams Or Less
0,0,0,-1.0,21,79.74574074074074,2,African-American,Female,F,arrest case no charge
0,0,0,-1.0,51,1.137048611111111,2,African-American,Male,M,OTHER
0,0,0,-1.0,29,0.7094907407407407,2,Caucasian,Male,M,Viol Injunct Domestic Violence
0,0,0,-1.0,51,1.670613425925926,7,African-American,Female,F,Possession of Cocaine
0,0,0,0.0,29,0.1956365740740741,0,African-American,Male,F,OTHER
0,0,0,-1.0,25,6.965127314814815,9,Caucasian,Male,M,Battery
